,Cost of Single Family Home,Zip Code,Rental Prices
0,208300.0,29001,0.0
1,208300.0,29003,0.0
2,80700.0,29009,0.0
3,208300.0,29010,0.0
4,208300.0,29014,0.0
5,87800.0,29015,0.0
6,229700.0,29016,0.0
7,81000.0,29018,0.0
8,110400.0,29020,0.0
9,208300.0,29030,0.0
10,208300.0,29031,0.0
11,68200.0,29032,0.0
12,111600.0,29033,0.0
13,209000.0,29036,0.0
14,208300.0,29037,0.0
15,83600.0,29038,0.0
16,75300.0,29039,0.0
17,106700.0,29040,0.0
18,208300.0,29042,0.0
19,92400.0,29044,0.0
20,208300.0,29047,0.0
21,126300.0,29048,0.0
22,208300.0,29051,0.0
23,82300.0,29052,0.0
24,208300.0,29053,0.0
25,144000.0,29054,0.0
26,208300.0,29055,0.0
27,208300.0,29056,0.0
28,117800.0,29058,0.0
29,103100.0,29059,0.0
30,114100.0,29061,0.0
31,146100.0,29063,1175.0
32,208300.0,29065,0.0
33,85200.0,29067,0.0
34,78900.0,29069,0.0
35,201300.0,29072,1378.75
36,128600.0,29073,1135.0
37,208300.0,29075,0.0
38,122400.0,29078,0.0
39,80500.0,29080,0.0
40,208300.0,29081,0.0
41,208300.0,29082,0.0
42,102800.0,29102,0.0
43,74700.0,29104,0.0
44,208300.0,29105,0.0
45,208300.0,29108,0.0
46,208300.0,29111,0.0
47,208300.0,29113,0.0
48,81000.0,29114,0.0
49,71500.0,29115,0.0
50,208300.0,29117,0.0
51,119900.0,29118,0.0
52,208300.0,29123,0.0
53,75500.0,29125,0.0
54,208300.0,29126,0.0
55,208300.0,29127,0.0
56,67200.0,29128,0.0
57,82300.0,29129,0.0
58,208300.0,29130,0.0
59,208300.0,29133,0.0
60,208300.0,29135,0.0
61,73400.0,29137,0.0
62,208300.0,29138,0.0
63,110200.0,29142,0.0
64,208300.0,29145,0.0
65,65800.0,29146,0.0
66,78600.0,29150,0.0
67,83400.0,29153,0.0
68,117100.0,29154,1050.0
69,91300.0,29160,0.0
70,110500.0,29161,0.0
