zip_code,city,county
29001,Alcolu,Clarendon
29003,Bamberg,Bamberg
29006,Batesburg,Lexington
29009,Bethune,Kershaw
29010,Bishopville,Lee
29014,Blackstock,Chester
29015,Blair,Fairfield
29016,Blythewood,Richland
29018,Bowman,Orangeburg
29020,Camden,Kershaw
29030,Cameron,Calhoun
29031,Carlisle,Union
29032,Cassatt,Kershaw
29033,Cayce,Lexington
29036,Chapin,Lexington
29037,Chappells,Newberry
29038,Cope,Orangeburg
29039,Cordova,Orangeburg
29040,Dalzell,Sumter
29042,Denmark,Bamberg
29044,Eastover,Richland
29045,Elgin,Kershaw
29047,Elloree,Orangeburg
29048,Eutawville,Orangeburg
29051,Gable,Clarendon
29052,Gadsden,Richland
29053,Gaston,Lexington
29054,Gilbert,Lexington
29055,Great Falls,Chester
29056,Greeleyville,Williamsburg
29058,Heath Springs,Lancaster
29059,Holly Hill,Orangeburg
29061,Hopkins,Richland
29063,Irmo,Richland
29065,Jenkinsville,Fairfield
29067,Kershaw,Lancaster
29069,Lamar,Darlington
29070,Leesville,Lexington
29072,Lexington,Lexington
29073,Lexington,Lexington
29075,Little Mountain,Newberry
29078,Lugoff,Kershaw
29080,Lynchburg,Lee
29081,Ehrhardt,Bamberg
29082,Lodge,Colleton
29101,Mc Bee,Chesterfield
29102,Manning,Clarendon
29104,Mayesville,Sumter
29105,Monetta,Aiken
29107,Neeses,Orangeburg
29108,Newberry,Newberry
29111,New Zion,Clarendon
29112,North,Orangeburg
29113,Norway,Orangeburg
29114,Olanta,Florence
29115,Orangeburg,Orangeburg
29118,Orangeburg,Orangeburg
29123,Pelion,Lexington
29125,Pinewood,Sumter
29126,Pomaria,Newberry
29127,Prosperity,Newberry
29128,Rembert,Sumter
29129,Ridge Spring,Saluda
29130,Ridgeway,Fairfield
29133,Rowesville,Orangeburg
29135,Saint Matthews,Calhoun
29137,Salley,Aiken
29138,Saluda,Saluda
29142,Santee,Orangeburg
29145,Silverstreet,Newberry
29146,Springfield,Orangeburg
29148,Summerton,Clarendon
29150,Sumter,Sumter
29152,Shaw AFB,Sumter
29153,Sumter,Sumter
29154,Sumter,Sumter
29160,Swansea,Lexington
29161,Timmonsville,Florence
29162,Turbeville,Clarendon
29163,Vance,Orangeburg
29164,Wagener,Aiken
29166,Ward,Saluda
29168,Wedgefield,Sumter
29169,West Columbia,Lexington
29170,West Columbia,Lexington
29172,West Columbia,Lexington
29175,Westville,Kershaw
29178,Whitmire,Newberry
29180,Winnsboro,Fairfield
29201,Columbia,Richland
29203,Columbia,Richland
29204,Columbia,Richland
29205,Columbia,Richland
29206,Columbia,Richland
29209,Columbia,Richland
29210,Columbia,Richland
29212,Columbia,Lexington
29222,Columbia,Richland
29223,Columbia,Richland
29229,Columbia,Richland
29301,Spartanburg,Spartanburg
29302,Spartanburg,Spartanburg
29303,Spartanburg,Spartanburg
29306,Spartanburg,Spartanburg
29307,Spartanburg,Spartanburg
29316,Boiling Springs,Spartanburg
29321,Buffalo,Union
29322,Campobello,Spartanburg
29323,Chesnee,Spartanburg
29325,Clinton,Laurens
29330,Cowpens,Spartanburg
29332,Cross Hill,Laurens
29334,Duncan,Spartanburg
29335,Enoree,Spartanburg
29340,Gaffney,Cherokee
29341,Gaffney,Cherokee
29349,Inman,Spartanburg
29351,Joanna,Laurens
29353,Jonesville,Union
29355,Kinards,Newberry
29356,Landrum,Spartanburg
29360,Laurens,Laurens
29365,Lyman,Spartanburg
29369,Moore,Spartanburg
29370,Mountville,Laurens
29372,Pacolet,Spartanburg
