zip,latitude,longitude,Cost of Single Family Home,Rent,Normalized Ratio,School Rating,Total Crimes,job_growth_per
29003,33.29,-81.03,208300,719,0.84,4.7,185,-0.7
29009,34.41,-80.34,80700,705,2.11,4.0,5,2.1
29010,34.21,-80.24,208300,694,0.81,2.3,311,2.1
29018,33.34,-80.68,81000,612,1.83,0.0,35,2.1
29020,34.26,-80.61,110400,719,1.58,4.2,605,2.1
29030,33.55,-80.71,208300,625,0.73,0.0,0,2.1
29033,33.95,-81.06,111600,905,1.96,4.8,1950,-0.7
29036,34.16,-81.34,209000,1178,1.36,7.9,50,-0.7
29040,34.03,-80.45,106700,696,1.58,4.5,3099,2.1
29042,33.31,-81.13,208300,468,0.54,2.3,119,-0.7
29044,33.87,-80.69,92400,732,1.92,3.0,8516,2.1
29047,33.52,-80.57,208300,561,0.65,2.0,11,2.1
29048,33.39,-80.34,126300,925,1.77,3.0,23,2.1
29053,33.81,-81.1,208300,814,0.95,3.8,121,-0.7
29055,34.57,-80.9,208300,711,0.83,3.5,178,-0.7
29056,33.57,-79.98,208300,597,0.69,2.3,14,2.1
29059,33.32,-80.41,103100,541,1.27,2.0,60,2.1
29061,33.88,-80.84,114100,894,1.9,2.8,8505,-0.7
29063,34.09,-81.18,146100,1188,1.97,6.3,8913,-0.7
29069,34.16,-80.06,78900,634,1.94,3.8,85,0.7
29072,33.98,-81.22,201300,1011,1.22,7.5,635,-0.7
29073,33.89,-81.24,128600,879,1.65,6.1,1687,-0.7
29080,34.05,-80.07,80500,456,1.37,0.0,7,2.1
29081,33.09,-81.01,208300,565,0.66,0.0,2,1.6
29108,34.27,-81.61,208300,710,0.82,3.4,486,-0.7
29113,33.44,-81.12,208300,595,0.69,1.0,25,-0.7
29115,33.49,-80.86,71500,678,2.29,2.9,876,-0.7
29118,33.57,-80.89,119900,661,1.33,3.2,876,-0.7
29123,33.78,-81.24,208300,771,0.9,4.0,49,-0.7
29127,34.21,-81.53,208300,767,0.89,5.7,57,-0.7
