,Unnamed: 0,zip,latitude,longitude,Cost of Single Family Home,Rent,Normalized Ratio,School Rating,Total Crimes,job_growth_per,job_growth_per_nom,Normalized Ratio_nom,Total Crimes_nom,School Rating_nom,summary_metric
0,0,29003,33.29,-81.03,208300,719,0.835324052,4.7,-185,-0.7,-0.53,0.68,-0.10,1.10,1.15
1,1,29009,34.41,-80.34,80700,705,2.114126394,4,-5,2.1,1.58,1.71,0.00,0.94,4.22
2,2,29010,34.21,-80.24,208300,694,0.806279405,2.3,-311,2.1,1.58,0.65,-0.17,0.54,2.60
3,3,29018,33.34,-80.68,81000,612,1.828444444,0,-35,2.1,1.58,1.48,-0.02,0.00,3.04
4,4,29020,34.26,-80.61,110400,719,1.576068841,4.2,-605,2.1,1.58,1.27,-0.34,0.98,3.50
5,5,29030,33.55,-80.71,208300,625,0.726116179,0,0,2.1,1.58,0.59,0.00,0.00,2.17
6,6,29033,33.95,-81.06,111600,905,1.962455197,4.8,-1950,-0.7,-0.53,1.59,-1.09,1.12,1.10
7,7,29036,34.16,-81.34,209000,1178,1.364,7.9,-50,-0.7,-0.53,1.10,-0.03,1.85,2.40
8,8,29040,34.03,-80.45,106700,696,1.578556701,4.5,-3099,2.1,1.58,1.28,-1.73,1.05,2.18
9,9,29042,33.31,-81.13,208300,468,0.543715795,2.3,-119,-0.7,-0.53,0.44,-0.07,0.54,0.39
10,10,29044,33.87,-80.69,92400,732,1.917142857,3,-8516,2.1,1.58,1.55,-4.74,0.70,-0.91
11,11,29047,33.52,-80.57,208300,561,0.651761882,2,-11,2.1,1.58,0.53,-0.01,0.47,2.57
12,12,29048,33.39,-80.34,126300,925,1.772367379,3,-23,2.1,1.58,1.43,-0.01,0.70,3.70
13,13,29053,33.81,-81.1,208300,814,0.945693711,3.8,-121,-0.7,-0.53,0.76,-0.07,0.89,1.06
14,14,29055,34.57,-80.9,208300,711,0.826029765,3.5,-178,-0.7,-0.53,0.67,-0.10,0.82,0.86
15,15,29056,33.57,-79.98,208300,597,0.693586174,2.3,-14,2.1,1.58,0.56,-0.01,0.54,2.67
16,16,29059,33.32,-80.41,103100,541,1.26985451,2,-60,2.1,1.58,1.03,-0.03,0.47,3.04
17,17,29061,33.88,-80.84,114100,894,1.896126205,2.8,-8505,-0.7,-0.53,1.53,-4.73,0.66,-3.07
18,18,29063,34.09,-81.18,146100,1188,1.967802875,6.3,-8913,-0.7,-0.53,1.59,-4.96,1.47,-2.42
19,19,29069,34.16,-80.06,78900,634,1.944588086,3.8,-85,0.7,0.53,1.57,-0.05,0.89,2.94
